inte',$S_0$,$S_1$,$S_2$,aero',$S_0$,$S_1$,$S_2$,dist',$S_0$,$S_1$,$S_2$,obse',$S_0$,$S_1$,$S_2$,ctrl',$S_0$,$S_1$,$S_2$
5.197176,0,0,0,5.197176,-0.828904,1.985678,25.96402,5.197176,-0.828904,1.985678,25.96402,5.197176,-0.444705,-1.649466,13.801458,5.197176,162984.3495,-1.40E+06,-5.15E+06
5.236125,0,0,0,5.236125,-0.988803,3.019331,31.003302,5.236125,-0.988803,3.019331,31.003302,5.236125,-0.586539,-0.327333,18.290554,5.236125,162989.1738,-1.40E+06,-5.15E+06
5.281446,0,0,0,5.281446,-1.058629,3.7833,33.218653,5.281446,-1.058629,3.7833,33.218653,5.281446,-0.733589,1.0024,22.942784,5.281446,162994.2888,-1.40E+06,-5.15E+06
5.324078,0,0,0,5.324078,-1.008494,3.945912,31.661614,5.324078,-1.008494,3.945912,31.661614,5.324078,-0.858932,2.085599,26.905924,5.324078,162998.6512,-1.40E+06,-5.15E+06
5.37307,0,0,0,5.37307,-1.246341,5.215522,39.144763,5.37307,-1.246341,5.215522,39.144763,5.37307,-0.99499,3.185388,31.204229,5.37307,163003.1741,-1.40E+06,-5.15E+06
5.415456,0,0,0,5.415456,-1.379077,5.997943,43.324377,5.415456,-1.379077,5.997943,43.324377,5.415456,-1.104516,4.023582,34.662115,5.415456,163006.7005,-1.40E+06,-5.15E+06
5.461088,0,0,0,5.461088,-1.427753,6.386198,44.861849,5.461088,-1.427753,6.386198,44.861849,5.461088,-1.192832,4.728201,37.451722,5.461088,163010.1228,-1.40E+06,-5.15E+06
5.500007,0,0,0,5.500007,-1.376354,6.254553,43.251431,5.500007,-1.376354,6.254553,43.251431,5.500007,-1.24026,5.153249,38.951976,5.500007,163012.7566,-1.40E+06,-5.15E+06
5.553701,0,0,0,5.553701,-1.310082,6.028996,41.172393,5.553701,-1.310082,6.028996,41.172393,5.553701,-1.262921,5.475172,39.674415,5.553701,163015.9918,-1.40E+06,-5.15E+06
5.600819,0,0,0,5.600819,-1.348633,6.231871,42.38513,5.600819,-1.348633,6.231871,42.38513,5.600819,-1.276535,5.67015,40.108486,5.600819,163018.4931,-1.40E+06,-5.15E+06
5.655392,0,0,0,5.655392,-1.38446,6.385042,43.510472,5.655392,-1.38446,6.385042,43.510472,5.655392,-1.295494,5.852249,40.708759,5.655392,163021.0397,-1.40E+06,-5.15E+06
5.706187,0,0,0,5.706187,-1.439512,6.590143,45.238235,5.706187,-1.439512,6.590143,45.238235,5.706187,-1.325321,6.029348,41.647967,5.706187,163023.1111,-1.40E+06,-5.15E+06
5.754365,0,0,0,5.754365,-1.35692,6.140832,42.639253,5.754365,-1.35692,6.140832,42.639253,5.754365,-1.345178,6.120538,42.271963,5.754365,163024.832,-1.40E+06,-5.15E+06
5.801653,0,0,0,5.801653,-1.369758,6.104121,43.038111,5.801653,-1.369758,6.104121,43.038111,5.801653,-1.35423,6.130485,42.554894,5.801653,163026.3113,-1.40E+06,-5.15E+06
5.845177,0,0,0,5.845177,-1.150926,5.038799,36.158054,5.845177,-1.150926,5.038799,36.158054,5.845177,-1.341007,6.01904,42.136878,5.845177,163027.5023,-1.40E+06,-5.15E+06
5.893746,0,0,0,5.893746,-1.150256,4.916996,36.131336,5.893746,-1.150256,4.916996,36.131336,5.893746,-1.295999,5.739408,40.718896,5.893746,163028.6512,-1.40E+06,-5.15E+06
5.938869,0,0,0,5.938869,-1.116932,4.650833,35.078702,5.938869,-1.116932,4.650833,35.078702,5.938869,-1.24833,5.438512,39.216917,5.938869,163029.57,-1.40E+06,-5.15E+06
5.980117,0,0,0,5.980117,-1.103287,4.468683,34.644194,5.980117,-1.103287,4.468683,34.644194,5.980117,-1.220439,5.217461,38.335927,5.980117,163030.3036,-1.40E+06,-5.15E+06
6.025657,0,0,0,6.025657,-1.231908,4.818162,38.67482,6.025657,-1.231908,4.818162,38.67482,6.025657,-1.203312,5.015974,37.791849,6.025657,163031.0077,-1.40E+06,-5.15E+06
6.072594,0,0,0,6.072594,-1.040001,3.902414,32.642165,6.072594,-1.040001,3.902414,32.642165,6.072594,-1.194234,4.827224,37.499527,6.072594,163031.6284,-1.40E+06,-5.15E+06
6.111848,0,0,0,6.111848,-1.117908,4.032585,35.079649,6.111848,-1.117908,4.032585,35.079649,6.111848,-1.180152,4.633453,37.050828,6.111848,163032.0701,-1.40E+06,-5.15E+06
6.161538,0,0,0,6.161538,-1.132823,3.859709,35.536868,6.161538,-1.132823,3.859709,35.536868,6.161538,-1.143618,4.309249,35.895197,6.161538,163032.534,-1.40E+06,-5.15E+06
6.204778,0,0,0,6.204778,-0.94656,3.045563,29.685213,6.204778,-0.94656,3.045563,29.685213,6.204778,-1.097634,3.972587,34.444091,6.204778,163032.8592,-1.40E+06,-5.15E+06
6.259831,0,0,0,6.259831,-0.895258,2.64472,28.065123,6.259831,-0.895258,2.64472,28.065123,6.259831,-1.026646,3.502258,32.206287,6.259831,163033.1792,-1.40E+06,-5.15E+06
6.30664,0,0,0,6.30664,-0.885587,2.399865,27.751646,6.30664,-0.885587,2.399865,27.751646,6.30664,-0.979858,3.144735,30.729115,6.30664,163033.3855,-1.40E+06,-5.15E+06
6.356434,0,0,0,6.356434,-0.912321,2.215517,28.5772,6.356434,-0.912321,2.215517,28.5772,6.356434,-0.944381,2.804214,29.605749,6.356434,163033.549,-1.40E+06,-5.15E+06
6.404825,0,0,0,6.404825,-0.867811,1.850337,27.170705,6.404825,-0.867811,1.850337,27.170705,6.404825,-0.920081,2.496055,28.832725,6.404825,163033.66,-1.40E+06,-5.15E+06
6.45214,0,0,0,6.45214,-0.833655,1.516867,26.08888,6.45214,-0.833655,1.516867,26.08888,6.45214,-0.893682,2.185582,27.99408,6.45214,163033.7253,-1.40E+06,-5.15E+06
